JNJ, 0.0111580433033944
PEP, 0.0111630900464353
MCD, 0.0116480663551963
PG, 0.0116630738346846
CL, 0.0117800797653096
WM, 0.0121307470744521
RSG, 0.012258869710004
VZ, 0.0123233858930772
MDLZ, 0.012328846445524
HSY, 0.0124880326667456
KMB, 0.0126215843507201
KO, 0.0127088394868346
DUK, 0.0128417732350774
WMT, 0.0128725594625579
ED, 0.0130491416800007
MMC, 0.0132445956008615
SO, 0.0132828528222551
YUM, 0.0133596126959402
GIS, 0.0133750475630686
AEP, 0.013401484765931
CMS, 0.0134202044712084
LNT, 0.0135542360503708
KDP, 0.0136256422438919
MRK, 0.0136259791116564
HRL, 0.0136562714363037
BMY, 0.0136581919999193
DTE, 0.013725147840078
XEL, 0.0137389032566295
ATO, 0.0137548088301629
AEE, 0.0137692136614184
WEC, 0.0139448928813609
PEG, 0.0140072871490252
COST, 0.0141147447150356
ICE, 0.0142307160753598
AJG, 0.0142706251173105
GD, 0.0142905812411032
PPL, 0.014323621095296
ROP, 0.0143722272976532
SJM, 0.0144013064566966
SRE, 0.0144134833355786
D, 0.0145891628515968
AME, 0.0145909097817942
LMT, 0.0146760431445388
AWK, 0.0146981784053716
CHD, 0.0147111124084255
NI, 0.0147345125601702
PM, 0.014740792403292
K, 0.0147473684205452
EXC, 0.0147608518908536
ETR, 0.0148608108630758
